treatment;block;1_FM;1_TM;1_TMperc;2_FM;2_TM;2_TNperc;3_FM;3_TM;3_TMperc
low_P;1;78,08;46,72;59,84;112,17;51,43;45,85;190,56;20,76;10,89
low_P;2;82,6;48,51;58,73;117,45;51,06;43,47;210,89;22,29;10,57
low_P;3;82,04;46,64;56,85;110,03;51,19;46,52;211,73;21,74;10,27
low_P;4;83,56;46,91;56,14;111,45;51,02;45,78;207,7;20,43;9,84
low_Fe;1;76,24;46,57;61,08;120,94;51,69;42,74;208,04;22,17;10,66
low_Fe;2;82,92;48,25;58,19;124,44;53,37;42,89;240,07;22,59;9,41
low_Fe;3;90,16;47,41;52,58;120,46;51,94;43,12;231,57;24,65;10,64
low_Fe;4;86,22;46,95;54,45;118,41;51,84;43,78;224,32;22,24;9,91
mid_P;1;80,99;46,76;57,74;131,19;52,4;39,94;281,68;25,81;9,16
mid_P;2;83,15;46,73;56,20;133,84;52,64;39,33;280,97;28,99;10,32
mid_P;3;89,93;47,35;52,65;134,63;53,58;39,80;279,58;27,86;9,96
mid_P;4;85,42;46,97;54,99;42,3;6,29;14,87;314,16;30,72;9,78
mid_Fe;1;82,34;46,71;56,73;136,61;52,42;38,37;316,52;29,39;9,29
mid_Fe;2;91,17;47,2;51,77;142,08;53,05;37,34;319,97;27,06;8,46
mid_Fe;3;98,1;49,07;50,02;144,16;54,6;37,87;298,07;29,86;10,02
mid_Fe;4;91,91;47,14;51,29;142,93;52,84;36,97;385,85;31,15;8,07
high_P;1;85,13;46,98;55,19;148,07;53,2;35,93;365,39;30,16;8,25
high_P;2;93,5;47,38;50,67;157,52;53,85;34,19;311,97;29,39;9,42
high_P;3;79,13;46,56;58,84;162,79;53,97;33,15;348,99;29,88;8,56
high_P;4;85,11;47,08;55,32;136,85;53,46;39,06;290,87;31,38;10,79
high_Fe;1;82,2;46,6;56,69;168,25;53,05;31,53;411,36;34,08;8,28
high_Fe;2;90,27;47,14;52,22;170,66;54,24;31,78;413,56;32,22;7,79
high_Fe;3;89,34;47,05;52,66;168,1;53,6;31,89;412,25;34,02;8,25
high_Fe;4;86;47,11;54,78;152,87;53,69;35,12;314,85;29,49;9,37
low_N;1;65,72;45,11;68,64;101,25;49,55;48,94;166,4;27,69;16,64
low_N;2;69,54;46,25;66,51;108,38;50,42;46,52;190,6;19,47;10,22
low_N;3;73,06;48,08;65,81;104,1;52,78;50,70;180,48;18,95;10,50
low_N;4;72,94;46,14;63,26;110,43;50,84;46,04;185,41;18,7;10,09
low_P_Fe;1;74,47;48,06;64,54;110,69;51,94;46,92;152,82;18,63;12,19
low_P_Fe;2;73,67;46,35;62,92;108,14;50,25;46,47;193,43;18,45;9,54
low_P_Fe;3;71,25;46,19;64,83;115,59;51,22;44,31;193,97;20,27;10,45
low_P_Fe;4;74,77;46,59;62,31;110,51;51,19;46,32;204,25;21,01;10,29
