STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
10315 20221030  1    6.6    9.4   14.6   21.1   86.5    1.0    3.6    6.8    5.9    0.0 1011.4
10315 20221029  1    8.7   11.1   16.1   22.2   84.9    1.0    4.6    3.4    7.5    0.0 1013.0
10315 20221028  1    9.4   12.7   17.6   22.8   77.8    2.0    8.7    4.1    5.8    0.0 1012.4
10315 20221027  1    6.7    9.5   15.3   21.0   83.0    2.0    7.5    5.9    5.9    0.2 1015.2
10315 20221026  1    6.6    8.6   13.3   20.2   86.0                  5.4    6.6    0.0 1010.7
10315 20221025  1    4.3    7.4   13.0   16.4   86.1    2.0           3.7    6.5    0.0 1008.6
10315 20221024  1   11.4   12.8   15.6   18.6   76.3    3.0   14.9    1.6           1.9 1001.0
10315 20221023  1    6.7    9.6   13.9   18.2   87.4    2.0   11.3    0.0    7.6    2.3 1004.2
10315 20221022  1    5.2    8.2   12.3   16.8   91.8    2.0    9.4    2.5    6.5    0.0 1006.9
10315 20221021  1    7.0   10.0   13.3   16.5   93.5    2.0    6.7    0.0    6.7    0.0 1002.4
10315 20221020  1    4.8    7.2   10.6   14.3   84.1    2.0    7.7    0.7    6.9    1.4 1008.2
10315 20221019  1    1.9    4.0    8.8   13.8   82.8    2.0    8.2    3.9    6.6    0.0 1020.4
10315 20221018  1    2.2    5.1   13.5   18.4   86.3    2.0    8.2    6.3    3.6    0.0 1020.9
10315 20221017  1   10.9   12.9   16.0   20.2   89.3    2.0   10.3    0.3    8.0    1.0 1014.4
10315 20221016  1   10.4   12.1   14.4   18.7   81.6    2.0   10.5    6.3    5.6    0.9 1008.7
10315 20221015  1    8.9   11.0   13.7   17.5   90.5    2.0    9.4    1.2    7.6    0.5 1001.1
10315 20221014  1    7.2    8.4   13.2   16.1   92.5    2.0    6.7    0.1    7.2    2.9 1005.3
10315 20221013  1    3.3    5.1   11.5   16.6   88.8    2.0    8.2    0.3    8.0    1.9 1011.0
10315 20221012  1   -0.9    1.9    7.8   15.9   83.3    1.0    5.1    7.1    5.3    0.0 1017.1
10315 20221011  1    0.1    1.8    7.1   16.0   88.2    1.0    6.7    5.0    3.8    0.0 1019.8
10315 20221010  1    1.9    5.5   10.5   18.0   81.2    2.0   12.9    5.8    4.0    0.3 1010.5
10315 20221009  1    0.1    2.6    9.4   16.6   77.2    2.0    6.5   10.1    3.2    0.0 1016.3
10315 20221008  1    1.7    3.7   11.5   16.3   78.5    3.0   12.2    6.1    3.7    0.0 1013.9
