"animal";"jump_length";"flea_count";"weight";"grade";"infected"
"dog";5,7;18;2,1;8;0
"dog";8,9;22;2,3;8;1
"dog";11,8;17;2,8;6;1
"dog";5,6;12;2,4;8;0
"dog";9,1;23;1,2;7;1
"dog";8,2;18;4,1;7;0
"dog";7,6;21;3,2;9;0
"cat";3,2;12;1,1;7;1
"cat";2,2;13;2,1;5;0
"cat";5,4;11;2,4;7;0
"cat";4,1;12;2,1;6;0
"cat";4,3;16;1,5;6;1
"cat";7,9;9;3,7;6;0
"cat";6,1;7;2,9;5;0
"fox";7,7;21;3,1;5;1
"fox";8,1;25;4,2;4;1
"fox";9,1;31;5,1;4;1
"fox";9,7;12;3,5;5;1
"fox";10,6;28;3,2;4;0
"fox";8,6;18;4,6;4;1
"fox";10,3;19;3,7;3;0
