"animal";"site";"rep";"jump_length"
"cat";"city";1;12,04
"cat";"city";2;11,98
"cat";"city";3;16,1
"cat";"city";4;13,42
"cat";"city";5;12,37
"cat";"city";6;16,36
"cat";"city";7;14,91
"cat";"city";8;11,17
"cat";"city";9;12,38
"cat";"city";10;15,06
"cat";"smalltown";1;15,24
"cat";"smalltown";2;13,36
"cat";"smalltown";3;15,08
"cat";"smalltown";4;12,83
"cat";"smalltown";5;14,68
"cat";"smalltown";6;10,73
"cat";"smalltown";7;13,35
"cat";"smalltown";8;14,54
"cat";"smalltown";9;12,99
"cat";"smalltown";10;14,51
"cat";"village";1;17,59
"cat";"village";2;11,24
"cat";"village";3;12,44
"cat";"village";4;13,63
"cat";"village";5;14,92
"cat";"village";6;17,43
"cat";"village";7;18,3
"cat";"village";8;16,35
"cat";"village";9;16,34
"cat";"village";10;14,23
"cat";"field";1;13,7
"cat";"field";2;15,13
"cat";"field";3;17,99
"cat";"field";4;14,6
"cat";"field";5;16,16
"cat";"field";6;14,26
"cat";"field";7;15,39
"cat";"field";8;16,85
"cat";"field";9;19,02
"cat";"field";10;18,76
"dog";"city";1;19,35
"dog";"city";2;17,1
"dog";"city";3;19,85
"dog";"city";4;15,33
"dog";"city";5;15,15
"dog";"city";6;19,57
"dog";"city";7;15,44
"dog";"city";8;16,09
"dog";"city";9;15,91
"dog";"city";10;13,01
"dog";"smalltown";1;17,72
"dog";"smalltown";2;17,11
"dog";"smalltown";3;17,57
"dog";"smalltown";4;17,12
"dog";"smalltown";5;16,02
"dog";"smalltown";6;22,61
"dog";"smalltown";7;16,49
"dog";"smalltown";8;18,64
"dog";"smalltown";9;17,21
"dog";"smalltown";10;19,9
"dog";"village";1;16,6
"dog";"village";2;15,28
"dog";"village";3;16,91
"dog";"village";4;15,08
"dog";"village";5;18,56
"dog";"village";6;16,34
"dog";"village";7;17,61
"dog";"village";8;14,8
"dog";"village";9;17,52
"dog";"village";10;16,93
"dog";"field";1;15,78
"dog";"field";2;17,02
"dog";"field";3;15,41
"dog";"field";4;15,61
"dog";"field";5;19,87
"dog";"field";6;19,24
"dog";"field";7;17,65
"dog";"field";8;18,83
"dog";"field";9;17,6
"dog";"field";10;14,67
"fox";"city";1;19,5
"fox";"city";2;18,49
"fox";"city";3;19,78
"fox";"city";4;19,45
"fox";"city";5;21,56
"fox";"city";6;21,37
"fox";"city";7;18,64
"fox";"city";8;20,08
"fox";"city";9;21,62
"fox";"city";10;20,68
"fox";"smalltown";1;19,81
"fox";"smalltown";2;17,78
"fox";"smalltown";3;19,65
"fox";"smalltown";4;16,38
"fox";"smalltown";5;17,46
"fox";"smalltown";6;17,02
"fox";"smalltown";7;19,38
"fox";"smalltown";8;15,89
"fox";"smalltown";9;17,15
"fox";"smalltown";10;17,43
"fox";"village";1;15,32
"fox";"village";2;17,59
"fox";"village";3;15,7
"fox";"village";4;18,58
"fox";"village";5;16,85
"fox";"village";6;18,25
"fox";"village";7;18,75
"fox";"village";8;16,96
"fox";"village";9;13,38
"fox";"village";10;18,38
"fox";"field";1;16,85
"fox";"field";2;13,55
"fox";"field";3;13,89
"fox";"field";4;15,67
"fox";"field";5;16,38
"fox";"field";6;14,59
"fox";"field";7;14,03
"fox";"field";8;13,63
"fox";"field";9;14,09
"fox";"field";10;15,52
