stream;longnose;area;do2;maxdepth;no3;so4;temp
basin_run;13;2528;9,6;80;2,28;16,75;15,3
bear_br;12;3333;8,5;83;5,34;7,74;19,4
bear_cr;54;19611;8,3;96;0,99;10,92;19,5
beaver_dam_cr;19;3570;9,2;56;5,44;16,53;17,0
beaver_run;37;1722;8,1;43;5,66;5,91;19,3
bennett_cr;2;583;9,2;51;2,26;8,81;12,9
big_br;72;4790;9,4;91;4,10;5,65;16,7
big_elk_cr;164;35971;10,2;81;3,20;17,53;13,8
big_pipe_cr;18;25440;7,5;120;3,53;8,20;13,7
blue_lick_run;1;2217;8,5;46;1,20;10,85;14,3
broad_run;53;1971;11,9;56;3,25;11,12;22,2
buffalo_run;16;12620;8,3;37;0,61;18,87;16,8
bush_cr;32;19046;8,3;120;2,93;11,31;18,0
cabin_john_cr;21;8612;8,2;103;1,57;16,09;15,0
carroll_br;23;3896;10,4;105;2,77;12,79;18,4
collier_run;18;6298;8,6;42;0,26;17,63;18,2
conowingo_cr;112;27350;8,5;65;6,95;14,94;24,1
dead_run;25;4145;8,7;51;0,34;44,93;23,0
deep_run;5;1175;7,7;57;1,30;21,68;21,8
deer_cr;26;8297;9,9;60;5,26;6,36;19,1
dorsey_run;8;7814;6,8;160;0,44;20,24;22,6
falls_run;15;1745;9,4;48;2,19;10,27;14,3
fishing_cr;11;5046;7,6;109;0,73;7,10;19,0
flintstone_cr;11;18943;9,2;50;0,25;14,21;18,5
great_seneca_cr;87;8624;8,6;78;3,37;7,51;21,3
greene_br;33;2225;9,1;41;2,30;9,72;20,5
gunpowder_falls;22;12659;9,7;65;3,30;5,98;18,0
haines_br;98;1967;8,6;50;7,71;26,44;16,8
hawlings_r;1;1172;8,3;73;2,62;4,64;20,5
hay_meadow_br;5;639;9,5;26;3,53;4,46;20,1
herrington_run;1;7056;6,4;60;0,25;9,82;24,5
hollands_br;38;1934;10,5;85;2,34;11,44;12,0
israel_cr;30;6260;9,5;133;2,41;13,77;21,0
liberty_res;12;424;8,3;62;3,49;5,82;20,2
little_antietam_cr;24;3488;9,3;44;2,11;13,37;24,0
little_bear_cr;6;3330;9,1;67;0,81;8,16;14,9
little_conococheague_cr;15;2227;6,8;54;0,33;7,60;24,0
little_deer_cr;38;8115;9,6;110;3,40;9,22;20,5
little_falls;84;1600;10,2;56;3,54;5,69;19,5
little_gunpowder_r;3;15305;9,7;85;2,60;6,96;17,5
little_hunting_cr;18;7121;9,5;58;0,51;7,41;16,0
little_paint_br;63;5794;9,4;34;1,19;12,27;17,5
mainstem_patuxent_r;239;8636;8,4;150;3,31;5,95;18,1
meadow_br;234;4803;8,5;93;5,01;10,98;24,3
mill_cr;6;1097;8,3;53;1,71;15,77;13,1
morgan_run;76;9765;9,3;130;4,38;5,74;16,9
muddy_br;25;4266;8,9;68;2,05;12,77;17,0
mudlick_run;8;1507;7,4;51;0,84;16,30;21,0
north_br;23;3836;8,3;121;1,32;7,36;18,5
north_br_casselman_r;16;17419;7,4;48;0,29;2,50;18,0
northwest_br;6;8735;8,2;63;1,56;13,22;20,8
northwest_br_anacostia_r;100;22550;8,4;107;1,41;14,45;23,0
owens_cr;80;9961;8,6;79;1,02;9,07;21,8
patapsco_r;28;4706;8,9;61;4,06;9,90;19,7
piney_br;48;4011;8,3;52;4,70;5,38;18,9
piney_cr;18;6949;9,3;100;4,57;17,84;18,6
piney_run;36;11405;9,2;70;2,17;10,17;23,6
prettyboy_br;19;904;9,8;39;6,81;9,20;19,2
red_run;32;3332;8,4;73;2,09;5,50;17,7
rock_cr;3;575;6,8;33;2,47;7,61;18,0
savage_r;106;29708;7,7;73;0,63;12,28;21,4
second_mine_br;62;2511;10,2;60;4,17;10,75;17,7
seneca_cr;23;18422;9,9;45;1,58;8,37;20,1
south_br_casselman_r;2;6311;7,6;46;0,64;21,16;18,5
south_br_patapsco;26;1450;7,9;60;2,96;8,84;18,6
south_fork_linganore_cr;20;4106;10,0;96;2,62;5,45;15,4
tuscarora_cr;38;10274;9,3;90;5,45;24,76;15,0
watts_br;19;510;6,7;82;5,25;14,19;26,5
